Feature Carried Condition Correlation:
90IX: Total: 119, Poor: 15, Poor %: 12.61%
TRIB TANNERY BROOK: Total: 2, Poor: 0, Poor %: 0.00%
SHEPARD ROAD: Total: 2, Poor: 0, Poor %: 0.00%
E.BR.OF OWEGO CRK: Total: 2, Poor: 1, Poor %: 50.00%
PROSPECT VALLEY CREEK: Total: 2, Poor: 1, Poor %: 50.00%
PROSPECT VLLY CRK: Total: 2, Poor: 0, Poor %: 0.00%
282 282 65011031: Total: 2, Poor: 0, Poor %: 0.00%
COUNTY ROAD 6: Total: 2, Poor: 0, Poor %: 0.00%
STANTON HILL RD: Total: 2, Poor: 0, Poor %: 0.00%
MARSHLAND ROAD: Total: 2, Poor: 0, Poor %: 0.00%
FOSTER CREEK: Total: 2, Poor: 0, Poor %: 0.00%
WEST HILL CREEK: Total: 2, Poor: 0, Poor %: 0.00%
MILLER CREEK: Total: 2, Poor: 1, Poor %: 50.00%
FULTON STREET: Total: 2, Poor: 0, Poor %: 0.00%
CAYUTA AVE: Total: 2, Poor: 0, Poor %: 0.00%
LICK BROOK: Total: 2, Poor: 1, Poor %: 50.00%
TRB ENFIELD CREEK: Total: 2, Poor: 0, Poor %: 0.00%
WEBSTER BROOK: Total: 2, Poor: 0, Poor %: 0.00%
TRIBUTARY HEMLOCK CREEK: Total: 2, Poor: 0, Poor %: 0.00%
34  34 36043000: Total: 2, Poor: 0, Poor %: 0.00%
CHAFFEE CREEK: Total: 2, Poor: 0, Poor %: 0.00%
EAST BRANCH NEVERSINK RIVER: Total: 2, Poor: 0, Poor %: 0.00%
E BR NEVERSINK RIVER: Total: 2, Poor: 2, Poor %: 100.00%
SUNDOWN CREEK: Total: 2, Poor: 0, Poor %: 0.00%
FANTINE KILL: Total: 2, Poor: 1, Poor %: 50.00%
PALMAGHATT KILL: Total: 2, Poor: 0, Poor %: 0.00%
KLYNE KILL: Total: 2, Poor: 0, Poor %: 0.00%
EX-ULSTER & DELWR: Total: 2, Poor: 1, Poor %: 50.00%
METTACAHONTS CRK: Total: 2, Poor: 1, Poor %: 50.00%
METTACAHONTS CREEK: Total: 2, Poor: 0, Poor %: 0.00%
SAWYER KILL: Total: 2, Poor: 0, Poor %: 0.00%
BROAD ST HOLLOW: Total: 2, Poor: 1, Poor %: 50.00%
CATHEDRAL GLEN: Total: 2, Poor: 1, Poor %: 50.00%
PANTHER KILL: Total: 2, Poor: 0, Poor %: 0.00%
PLATTE  KILL: Total: 2, Poor: 0, Poor %: 0.00%
CR 31-SAWKILL RD: Total: 2, Poor: 0, Poor %: 0.00%
87I 87I@MM93.56: Total: 2, Poor: 0, Poor %: 0.00%
9W  9W86033023: Total: 2, Poor: 0, Poor %: 0.00%
209 209 86031315: Total: 2, Poor: 0, Poor %: 0.00%
WEST BRANCH BEER KILL: Total: 2, Poor: 0, Poor %: 0.00%
SILVER HOLLOW: Total: 2, Poor: 0, Poor %: 0.00%
MINK HOLLOW CREEK: Total: 2, Poor: 0, Poor %: 0.00%
LAMB HILL ROAD: Total: 2, Poor: 0, Poor %: 0.00%
CR10-SCHROON R RD: Total: 2, Poor: 0, Poor %: 0.00%
UPPER VALLEY FARM RD.: Total: 2, Poor: 0, Poor %: 0.00%
HAGUE BROOK: Total: 2, Poor: 0, Poor %: 0.00%
EAST SCHROON RIVER RD: Total: 2, Poor: 0, Poor %: 0.00%
LUZERNE ROAD: Total: 2, Poor: 0, Poor %: 0.00%
CORINTH RD-C R 28: Total: 2, Poor: 0, Poor %: 0.00%
NUMBER NINE BROOK: Total: 2, Poor: 0, Poor %: 0.00%
WAMPECACK CREEK: Total: 2, Poor: 1, Poor %: 50.00%
PIKE BROOK: Total: 2, Poor: 0, Poor %: 0.00%
Indian River: Total: 2, Poor: 0, Poor %: 0.00%
SODUS BAY: Total: 2, Poor: 0, Poor %: 0.00%
CRUSOE CREEK: Total: 2, Poor: 0, Poor %: 0.00%
STONE HILL RIVER: Total: 2, Poor: 0, Poor %: 0.00%
172 172 87011021: Total: 2, Poor: 0, Poor %: 0.00%
CR98-BEDFD CTR RD: Total: 2, Poor: 0, Poor %: 0.00%
HARRIS ROAD: Total: 2, Poor: 0, Poor %: 0.00%
WHITE HILL RIVER: Total: 2, Poor: 0, Poor %: 0.00%
987D 987D87012239: Total: 2, Poor: 0, Poor %: 0.00%
MARY'S BROOK: Total: 2, Poor: 0, Poor %: 0.00%
PLEASANTVILLE ROAD: Total: 2, Poor: 0, Poor %: 0.00%
PALMER AVENUE: Total: 2, Poor: 2, Poor %: 100.00%
DICKEY BROOK: Total: 2, Poor: 0, Poor %: 0.00%
9A  9A87032221: Total: 2, Poor: 0, Poor %: 0.00%
ANNSVILLE CREEK: Total: 2, Poor: 1, Poor %: 50.00%
129  129 87011000: Total: 2, Poor: 0, Poor %: 0.00%
RESERVOIR FLUME: Total: 2, Poor: 0, Poor %: 0.00%
119 119 87011030: Total: 2, Poor: 0, Poor %: 0.00%
ES RAMP TO SBSP: Total: 2, Poor: 0, Poor %: 0.00%
287I287I87011011: Total: 2, Poor: 0, Poor %: 0.00%
RAMP W I87 TO 119: Total: 2, Poor: 0, Poor %: 0.00%
PAYNE ST: Total: 2, Poor: 0, Poor %: 0.00%
SPRAIN BROOK: Total: 2, Poor: 0, Poor %: 0.00%
Bronx River: Total: 2, Poor: 0, Poor %: 0.00%
Mamaroneck River: Total: 2, Poor: 0, Poor %: 0.00%
MANHATTANVILLE RD: Total: 2, Poor: 0, Poor %: 0.00%
SLEEPY HOLLOW RD: Total: 2, Poor: 0, Poor %: 0.00%
9   9 87032097: Total: 2, Poor: 0, Poor %: 0.00%
987GX: Total: 2, Poor: 0, Poor %: 0.00%
987F: Total: 2, Poor: 0, Poor %: 0.00%
907G X: Total: 2, Poor: 1, Poor %: 50.00%
N.COLUMBUS CR 22: Total: 2, Poor: 0, Poor %: 0.00%
WARTBURG CONN WB: Total: 2, Poor: 0, Poor %: 0.00%
PINE BROOK BLVD: Total: 2, Poor: 0, Poor %: 0.00%
COUNTY ROAD 68: Total: 2, Poor: 0, Poor %: 0.00%
22  22 87034066: Total: 2, Poor: 0, Poor %: 0.00%
BALDWIN ROAD: Total: 2, Poor: 0, Poor %: 0.00%
GUINEA RD: Total: 2, Poor: 0, Poor %: 0.00%
KILL BROOK: Total: 2, Poor: 1, Poor %: 50.00%
PLAYLAND PARKWAY: Total: 2, Poor: 0, Poor %: 0.00%
W B MAMARONECK RV: Total: 2, Poor: 0, Poor %: 0.00%
MAMARONECK AVE: Total: 2, Poor: 0, Poor %: 0.00%
YONKERS AVE CR 66: Total: 2, Poor: 0, Poor %: 0.00%
FORTFIELD AVENUE: Total: 2, Poor: 0, Poor %: 0.00%
LOCKWOOD AVENUE: Total: 2, Poor: 0, Poor %: 0.00%
GRASSY SPRAIN BK: Total: 2, Poor: 0, Poor %: 0.00%
GROUND: Total: 2, Poor: 2, Poor %: 100.00%
NEW CROTON RESVOR: Total: 2, Poor: 0, Poor %: 0.00%
CROTON DAM ROAD: Total: 2, Poor: 0, Poor %: 0.00%
FDR PARK RAMP: Total: 2, Poor: 0, Poor %: 0.00%
35   35 87012040: Total: 2, Poor: 0, Poor %: 0.00%
RAMP N TO BMP: Total: 2, Poor: 0, Poor %: 0.00%
STEVENS BROOK: Total: 2, Poor: 0, Poor %: 0.00%
TRIB WISCOY CREEK: Total: 2, Poor: 0, Poor %: 0.00%
Little Tonawanda Creek: Total: 2, Poor: 0, Poor %: 0.00%
MIDDLEBURY BROOK: Total: 2, Poor: 0, Poor %: 0.00%
LITTLE BEARDS CREEK: Total: 2, Poor: 0, Poor %: 0.00%
E FK TONAWANDA CK: Total: 2, Poor: 0, Poor %: 0.00%
Stony Creek: Total: 2, Poor: 0, Poor %: 0.00%
TRIB BIG STREAM: Total: 2, Poor: 1, Poor %: 50.00%
BIG GULLY: Total: 2, Poor: 0, Poor %: 0.00%
85  85 11012010: Total: 1, Poor: 1, Poor %: 100.00%
TWY CONN WB RAMP: Total: 1, Poor: 0, Poor %: 0.00%
SO.PEARL ST.RT.32: Total: 1, Poor: 0, Poor %: 0.00%
787I787I11011018: Total: 1, Poor: 0, Poor %: 0.00%
TO QUAY ST-BRDWAY: Total: 1, Poor: 0, Poor %: 0.00%
SOUTH MALL EXPWAY: Total: 1, Poor: 0, Poor %: 0.00%
BERKSHIRE BLVD: Total: 1, Poor: 0, Poor %: 0.00%
90I 90I11011000: Total: 1, Poor: 0, Poor %: 0.00%
87IX INT 23 RAMP: Total: 1, Poor: 0, Poor %: 0.00%
CITY WATER TUNNEL: Total: 1, Poor: 0, Poor %: 0.00%
KRUMKILL RD: Total: 1, Poor: 0, Poor %: 0.00%
NOONAN LANE: Total: 1, Poor: 0, Poor %: 0.00%
INT 23 RAMP: Total: 1, Poor: 0, Poor %: 0.00%
FULLER RD -CR 156: Total: 1, Poor: 0, Poor %: 0.00%
S R 5-CENTRAL AVE: Total: 1, Poor: 0, Poor %: 0.00%
CSX/Amtrak: Total: 1, Poor: 0, Poor %: 0.00%
EXCHANGE ST EXT: Total: 1, Poor: 0, Poor %: 0.00%
BROADWAY CTYST: Total: 1, Poor: 0, Poor %: 0.00%
NO.PEARL ST-RT 32: Total: 1, Poor: 0, Poor %: 0.00%
NO.PEARL ST. RT32: Total: 1, Poor: 0, Poor %: 0.00%
ERIE BLVD: Total: 1, Poor: 0, Poor %: 0.00%
ERIE BLVD.: Total: 1, Poor: 0, Poor %: 0.00%
910F910F11011005: Total: 1, Poor: 0, Poor %: 0.00%
FR I90 E TO I87 N: Total: 1, Poor: 0, Poor %: 0.00%
FR I90E TO I87N: Total: 1, Poor: 0, Poor %: 0.00%
RAMP TO 90I EB: Total: 1, Poor: 0, Poor %: 0.00%
787I787I11011003: Total: 1, Poor: 0, Poor %: 0.00%
85  85 11012012: Total: 1, Poor: 0, Poor %: 0.00%
85  85 11012015: Total: 1, Poor: 0, Poor %: 0.00%
BEAVER RELIEF SWR: Total: 1, Poor: 0, Poor %: 0.00%
US 9 AND RAMPS: Total: 1, Poor: 0, Poor %: 0.00%
CAMPUS-I90 CONN: Total: 1, Poor: 0, Poor %: 0.00%
90I 90I11011018: Total: 1, Poor: 0, Poor %: 0.00%
90I 90I11011037: Total: 1, Poor: 0, Poor %: 0.00%
787I787I11011019: Total: 1, Poor: 0, Poor %: 0.00%
90I 90I11011031: Total: 1, Poor: 0, Poor %: 0.00%
90I 90I11011004: Total: 1, Poor: 0, Poor %: 0.00%
SHERMAN STREET: Total: 1, Poor: 0, Poor %: 0.00%
90IX           P: Total: 1, Poor: 0, Poor %: 0.00%
WATER ST: Total: 1, Poor: 0, Poor %: 0.00%
90I MAIN LINE: Total: 1, Poor: 0, Poor %: 0.00%
SM-OFF TO PEARL ST: Total: 1, Poor: 0, Poor %: 0.00%
85  85 11012002: Total: 1, Poor: 0, Poor %: 0.00%
90I 90I11012011: Total: 1, Poor: 0, Poor %: 0.00%
9   9 11081024: Total: 1, Poor: 0, Poor %: 0.00%
90I 90I11013007: Total: 1, Poor: 0, Poor %: 0.00%
9   9 11081033: Total: 1, Poor: 0, Poor %: 0.00%
OFFRAMP TO 787ISB: Total: 1, Poor: 0, Poor %: 0.00%
HUDSON RIVER SHRE: Total: 1, Poor: 0, Poor %: 0.00%
ON RAMP NB I787: Total: 1, Poor: 0, Poor %: 0.00%
90IXWB: Total: 1, Poor: 0, Poor %: 0.00%
787I787I11011014: Total: 1, Poor: 0, Poor %: 0.00%
ON RAMP TO SMX EB: Total: 1, Poor: 0, Poor %: 0.00%
TO SO MALL EXP WB: Total: 1, Poor: 0, Poor %: 0.00%
Fuller Rd: Total: 1, Poor: 0, Poor %: 0.00%
Fuller rd. rounda: Total: 1, Poor: 0, Poor %: 0.00%
85  85 11012016: Total: 1, Poor: 0, Poor %: 0.00%
CAMPUS-I90 CONN.: Total: 1, Poor: 0, Poor %: 0.00%
BEAVERDAM CREEK: Total: 1, Poor: 0, Poor %: 0.00%
BRADT HLLOW CREEK: Total: 1, Poor: 0, Poor %: 0.00%
TRIB SWITZ KILL: Total: 1, Poor: 0, Poor %: 0.00%
LITTLE SCHOHARIE CREEK: Total: 1, Poor: 0, Poor %: 0.00%
ALBANY CO. RAIL TRAIL: Total: 1, Poor: 0, Poor %: 0.00%
VOLMAN KILL CREEK: Total: 1, Poor: 0, Poor %: 0.00%
9W   9W11051114: Total: 1, Poor: 0, Poor %: 0.00%
87I 144.70: Total: 1, Poor: 0, Poor %: 0.00%
9W 9W  11051117: Total: 1, Poor: 0, Poor %: 0.00%
87I X: Total: 1, Poor: 0, Poor %: 0.00%
DOWERS KILL: Total: 1, Poor: 0, Poor %: 0.00%
87I  X: Total: 1, Poor: 0, Poor %: 0.00%
ONESQUETHAW CRK: Total: 1, Poor: 0, Poor %: 0.00%
CSX RR/CAN PAC RR: Total: 1, Poor: 1, Poor %: 100.00%
144: Total: 1, Poor: 0, Poor %: 0.00%
HANNACROIS CK: Total: 1, Poor: 0, Poor %: 0.00%
E.BR MOHAWK RIVER: Total: 1, Poor: 0, Poor %: 0.00%
HUDSON RIVR SHORE: Total: 1, Poor: 0, Poor %: 0.00%
890I890I11021001: Total: 1, Poor: 0, Poor %: 0.00%
87I 87I11082049: Total: 1, Poor: 0, Poor %: 0.00%
87I 87I11082058: Total: 1, Poor: 0, Poor %: 0.00%
32  32 11045005: Total: 1, Poor: 0, Poor %: 0.00%
787I787I11014004: Total: 1, Poor: 0, Poor %: 0.00%
87I 87I11082057: Total: 1, Poor: 1, Poor %: 100.00%
787I787I11014006: Total: 1, Poor: 0, Poor %: 0.00%
7   7 11081145: Total: 1, Poor: 0, Poor %: 0.00%
7   7 11081167: Total: 1, Poor: 0, Poor %: 0.00%
SHAKER CREEK: Total: 1, Poor: 0, Poor %: 0.00%
9   9 11082047: Total: 1, Poor: 0, Poor %: 0.00%
7   7 11081156: Total: 1, Poor: 0, Poor %: 0.00%
7   7 11081147: Total: 1, Poor: 0, Poor %: 0.00%
RT7WB TO I87NB: Total: 1, Poor: 0, Poor %: 0.00%
87I 87I11082054: Total: 1, Poor: 0, Poor %: 0.00%
W CHANEL HUDSON R: Total: 1, Poor: 0, Poor %: 0.00%
6TH BR.MOHAWK RIV: Total: 1, Poor: 0, Poor %: 0.00%
PARKING LT ACCESS: Total: 1, Poor: 0, Poor %: 0.00%
NORMANSKILL: Total: 1, Poor: 0, Poor %: 0.00%
WATERVLIET RESVOR: Total: 1, Poor: 0, Poor %: 0.00%
CROSSGATE MALL: Total: 1, Poor: 0, Poor %: 0.00%
910F910F11011002: Total: 1, Poor: 0, Poor %: 0.00%
NYSTWY MP#.147.1: Total: 1, Poor: 0, Poor %: 0.00%
NORMANSKILL CRK: Total: 1, Poor: 0, Poor %: 0.00%
20  20 11201110: Total: 1, Poor: 0, Poor %: 0.00%
BOZENKILL: Total: 1, Poor: 0, Poor %: 0.00%
TRIB BOZENKILL: Total: 1, Poor: 0, Poor %: 0.00%
TRIB OF FOX CREEK: Total: 1, Poor: 0, Poor %: 0.00%
TRB BEAVERDAM CRK: Total: 1, Poor: 0, Poor %: 0.00%
32  32 11043018: Total: 1, Poor: 0, Poor %: 0.00%
378 WB TO I787 SB: Total: 1, Poor: 0, Poor %: 0.00%
787I787I11012007: Total: 1, Poor: 0, Poor %: 0.00%
Onesquethaw Cre: Total: 1, Poor: 0, Poor %: 0.00%
NORMANSKILL CREEK: Total: 1, Poor: 0, Poor %: 0.00%
143 X: Total: 1, Poor: 0, Poor %: 0.00%
TRIB.CATSKILL CK.: Total: 1, Poor: 0, Poor %: 0.00%
SQUIRMER  CREEK: Total: 1, Poor: 0, Poor %: 0.00%
9J9J14021028: Total: 1, Poor: 0, Poor %: 0.00%
787I787I11013016: Total: 1, Poor: 0, Poor %: 0.00%
23RD ST-HUDSON AV: Total: 1, Poor: 0, Poor %: 0.00%
ALBANY AVE-25THST: Total: 1, Poor: 0, Poor %: 0.00%
WOLF FLY CREEK: Total: 1, Poor: 0, Poor %: 0.00%
BASIC RESERVOIR: Total: 1, Poor: 0, Poor %: 0.00%
Normanskill: Total: 1, Poor: 0, Poor %: 0.00%
RAILROAD BROOK: Total: 1, Poor: 0, Poor %: 0.00%
TRIB ELM VALLEY C: Total: 1, Poor: 0, Poor %: 0.00%
MC HENRY CREEK: Total: 1, Poor: 0, Poor %: 0.00%
PLEASANT VALLEY C: Total: 1, Poor: 0, Poor %: 0.00%
TRIB CANACADEA CR: Total: 1, Poor: 0, Poor %: 0.00%
LINK CREEK: Total: 1, Poor: 0, Poor %: 0.00%
KARR VALLEY CRK: Total: 1, Poor: 0, Poor %: 0.00%
TRIB KARR VLY CRK: Total: 1, Poor: 0, Poor %: 0.00%
CANACADEA  CREEK: Total: 1, Poor: 0, Poor %: 0.00%
TUCKER CORNERS CK: Total: 1, Poor: 0, Poor %: 0.00%
86I 17 61032148: Total: 1, Poor: 0, Poor %: 0.00%
LONG GORE CREEK: Total: 1, Poor: 0, Poor %: 0.00%
TRIB EAST VALLEY: Total: 1, Poor: 0, Poor %: 0.00%
TRIB E VALLEY CRK: Total: 1, Poor: 0, Poor %: 0.00%
TRIB BAKER CREEK: Total: 1, Poor: 0, Poor %: 0.00%
N BR BAKER CREEK: Total: 1, Poor: 0, Poor %: 0.00%
86I 17 6103 2218: Total: 1, Poor: 1, Poor %: 100.00%
MICHAEL CREEK: Total: 1, Poor: 0, Poor %: 0.00%
WIGWAM CREEK: Total: 1, Poor: 0, Poor %: 0.00%
ROOT CREEK: Total: 1, Poor: 1, Poor %: 100.00%
KOSSUTH CREEK: Total: 1, Poor: 0, Poor %: 0.00%
ROOT HOLLOW CREEK: Total: 1, Poor: 0, Poor %: 0.00%
TB CANASERAGA CRK: Total: 1, Poor: 0, Poor %: 0.00%
HOUGHTON CREEK: Total: 1, Poor: 0, Poor %: 0.00%
TRB GENESEE RIVER: Total: 1, Poor: 0, Poor %: 0.00%
COURTNEY HLLW CRK: Total: 1, Poor: 0, Poor %: 0.00%
JOHNSONS CREEK: Total: 1, Poor: 0, Poor %: 0.00%
TRIB W BRANCH CRK: Total: 1, Poor: 0, Poor %: 0.00%
MUNGER HOLLOW CRK: Total: 1, Poor: 0, Poor %: 0.00%
TRIB GRIFFIN CREE: Total: 1, Poor: 0, Poor %: 0.00%
W B VAN CAMPEN CK: Total: 1, Poor: 0, Poor %: 0.00%
N BR VAN CAMPEN C: Total: 1, Poor: 0, Poor %: 0.00%
TRB VAN CAMPEN CK: Total: 1, Poor: 0, Poor %: 0.00%
VANCAMPEN CREEK: Total: 1, Poor: 0, Poor %: 0.00%
TRIB VANCAMPEN CK: Total: 1, Poor: 0, Poor %: 0.00%
MOSS BROOK: Total: 1, Poor: 0, Poor %: 0.00%
W.BR.VANCAMPEN CR: Total: 1, Poor: 0, Poor %: 0.00%
VAN CAMPEN CREEK: Total: 1, Poor: 0, Poor %: 0.00%
TRIB GENESEE RIVER: Total: 1, Poor: 0, Poor %: 0.00%
SAW MILL CREEK: Total: 1, Poor: 0, Poor %: 0.00%
Trb.Crk Genesee R: Total: 1, Poor: 0, Poor %: 0.00%
CHRISTIAN HOL CK: Total: 1, Poor: 0, Poor %: 0.00%
CHRISTN HOLLOW CR: Total: 1, Poor: 0, Poor %: 0.00%
TRIB SPRING MILLS: Total: 1, Poor: 0, Poor %: 0.00%
Indian Creek: Total: 1, Poor: 0, Poor %: 0.00%
BOONE CREEK: Total: 1, Poor: 0, Poor %: 0.00%
TRIB CANEADEA CRK: Total: 1, Poor: 0, Poor %: 0.00%
BROOKSIDE CREEK: Total: 1, Poor: 0, Poor %: 0.00%
CENTERVILLE CREEK: Total: 1, Poor: 0, Poor %: 0.00%
SNOWBALL HOLL CRK: Total: 1, Poor: 0, Poor %: 0.00%
SNOWBALL HOLLOW C: Total: 1, Poor: 0, Poor %: 0.00%
WIGHTMAN HOLLW CK: Total: 1, Poor: 0, Poor %: 0.00%
DUFFY HOLLOW CRK: Total: 1, Poor: 0, Poor %: 0.00%
WNY & PA RR: Total: 1, Poor: 0, Poor %: 0.00%
GEORGE CREEK: Total: 1, Poor: 0, Poor %: 0.00%
YOUNG CREEK: Total: 1, Poor: 0, Poor %: 0.00%
GRAVES CREEK: Total: 1, Poor: 0, Poor %: 0.00%
BEECH HILL CREEK: Total: 1, Poor: 0, Poor %: 0.00%
OREBED CREEK: Total: 1, Poor: 0, Poor %: 0.00%
FORD BROOK: Total: 1, Poor: 0, Poor %: 0.00%
S BR VAN CAMPEN C: Total: 1, Poor: 0, Poor %: 0.00%
TRIB S BR VAN CAMPEN CRK: Total: 1, Poor: 1, Poor %: 100.00%
Trib Canaseraga Ck: Total: 1, Poor: 0, Poor %: 0.00%
87I 87IX1M11012: Total: 1, Poor: 1, Poor %: 100.00%
895I895IX1M12011: Total: 1, Poor: 1, Poor %: 100.00%
95I 95IX1M21003: Total: 1, Poor: 0, Poor %: 0.00%
PINKNEY AV-233ST: Total: 1, Poor: 0, Poor %: 0.00%
907V907VX1M22017: Total: 1, Poor: 0, Poor %: 0.00%
BRUCKNER BLVD: Total: 1, Poor: 1, Poor %: 100.00%
EAST 140TH STREET: Total: 1, Poor: 0, Poor %: 0.00%
ROSEDALE AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
FROM 278I TO 87I: Total: 1, Poor: 1, Poor %: 100.00%
RAMP AG@CYPRESSAV: Total: 1, Poor: 0, Poor %: 0.00%
BRUCKNER BLVD SB: Total: 1, Poor: 0, Poor %: 0.00%
HUNTS POINT AVE: Total: 1, Poor: 0, Poor %: 0.00%
CSX TRANS/HNTS PT: Total: 1, Poor: 0, Poor %: 0.00%
BRONX RIVER AVE: Total: 1, Poor: 0, Poor %: 0.00%
RANDALL AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
LAFAYETTE AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
295I295IX1M21022: Total: 1, Poor: 0, Poor %: 0.00%
278I278IXIM54005: Total: 1, Poor: 0, Poor %: 0.00%
ALEXANDER AVENUE: Total: 1, Poor: 1, Poor %: 100.00%
RIDER AVE PED TNL: Total: 1, Poor: 0, Poor %: 0.00%
ABANDONED SUBWAY: Total: 1, Poor: 1, Poor %: 100.00%
Metro North RR Property: Total: 1, Poor: 1, Poor %: 100.00%
VAN CORTLAND AVE: Total: 1, Poor: 0, Poor %: 0.00%
908F 908FX1M12022: Total: 1, Poor: 0, Poor %: 0.00%
NURSERY RD- ABAND: Total: 1, Poor: 0, Poor %: 0.00%
ST ANN'S AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
BROOK AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
RELIEF@E 149TH ST: Total: 1, Poor: 0, Poor %: 0.00%
RAMP C S B MDE: Total: 1, Poor: 0, Poor %: 0.00%
87I 87IX1M11033: Total: 1, Poor: 0, Poor %: 0.00%
87I  87IX1M11033: Total: 1, Poor: 0, Poor %: 0.00%
908F908FX1M12021: Total: 1, Poor: 0, Poor %: 0.00%
BIN 106745A: Total: 1, Poor: 0, Poor %: 0.00%
RAMP TO MDE NB: Total: 1, Poor: 0, Poor %: 0.00%
FAILE STREET: Total: 1, Poor: 0, Poor %: 0.00%
SLOPE ADJ TO RR: Total: 1, Poor: 0, Poor %: 0.00%
908A908AX1M11019: Total: 1, Poor: 1, Poor %: 100.00%
E TREMONT AVENUE: Total: 1, Poor: 1, Poor %: 100.00%
BOSTON RD BX ZOO: Total: 1, Poor: 0, Poor %: 0.00%
AT BURKE AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
278I278IX1M53032: Total: 1, Poor: 0, Poor %: 0.00%
MORRIS PARK AVE: Total: 1, Poor: 1, Poor %: 100.00%
907F  X(EB): Total: 1, Poor: 0, Poor %: 0.00%
908FX908FX1M11001: Total: 1, Poor: 0, Poor %: 0.00%
KAPPOCK STREET: Total: 1, Poor: 0, Poor %: 0.00%
BARTOW AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
907V907VX1M21028: Total: 1, Poor: 0, Poor %: 0.00%
EQUESTRIAN PATH: Total: 1, Poor: 0, Poor %: 0.00%
GOLFERS UNDERPASS: Total: 1, Poor: 0, Poor %: 0.00%
GOLFERS PATH: Total: 1, Poor: 0, Poor %: 0.00%
278I 278IX1M54050: Total: 1, Poor: 0, Poor %: 0.00%
WEST FARMS ROAD: Total: 1, Poor: 0, Poor %: 0.00%
895I895IX1M11013: Total: 1, Poor: 1, Poor %: 100.00%
695I695IX1M12012: Total: 1, Poor: 0, Poor %: 0.00%
SEDGWICK AVE: Total: 1, Poor: 0, Poor %: 0.00%
87I  87IX1M11035: Total: 1, Poor: 0, Poor %: 0.00%
WEST FARMS ROAD NB: Total: 1, Poor: 0, Poor %: 0.00%
BRUCKNER EXPWY EB: Total: 1, Poor: 0, Poor %: 0.00%
BE NB SERVICE RD: Total: 1, Poor: 0, Poor %: 0.00%
907FX: Total: 1, Poor: 0, Poor %: 0.00%
BARTOW AVE: Total: 1, Poor: 0, Poor %: 0.00%
ERSKINE PLACE: Total: 1, Poor: 0, Poor %: 0.00%
HOLLERS AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
87I 87IX1M11040: Total: 1, Poor: 0, Poor %: 0.00%
95I  95IX1M21017: Total: 1, Poor: 1, Poor %: 100.00%
908A 908AX1M11000: Total: 1, Poor: 0, Poor %: 0.00%
95I 95IX1M22033: Total: 1, Poor: 0, Poor %: 0.00%
908A 908AX1M11001: Total: 1, Poor: 0, Poor %: 0.00%
278I278IX1M53046: Total: 1, Poor: 0, Poor %: 0.00%
CBE SERVICE RD EB: Total: 1, Poor: 0, Poor %: 0.00%
WESTCHESTER CREEK: Total: 1, Poor: 1, Poor %: 100.00%
95I  95IX1M22024: Total: 1, Poor: 1, Poor %: 100.00%
TWIN LAKES: Total: 1, Poor: 0, Poor %: 0.00%
278I278IX1051017: Total: 1, Poor: 0, Poor %: 0.00%
695I 695IX1M11012: Total: 1, Poor: 0, Poor %: 0.00%
278I 278IX1M54043: Total: 1, Poor: 0, Poor %: 0.00%
95I  95IX1M22043: Total: 1, Poor: 0, Poor %: 0.00%
907H 907HX1M11009: Total: 1, Poor: 0, Poor %: 0.00%
EASTCHESTER BAY: Total: 1, Poor: 0, Poor %: 0.00%
95I 95IX1M22012: Total: 1, Poor: 0, Poor %: 0.00%
1 ( EB FORDHAM RD): Total: 1, Poor: 0, Poor %: 0.00%
95I 95IX1M21019: Total: 1, Poor: 1, Poor %: 100.00%
95I  95IX1M21023: Total: 1, Poor: 1, Poor %: 100.00%
87I 87IX1M11031: Total: 1, Poor: 0, Poor %: 0.00%
EXTERIOR STREET: Total: 1, Poor: 0, Poor %: 0.00%
Aband.CSXT-PT MRR: Total: 1, Poor: 0, Poor %: 0.00%
ACCESS TO HOUSING: Total: 1, Poor: 0, Poor %: 0.00%
Aband.CSX/P MRRIS: Total: 1, Poor: 0, Poor %: 0.00%
907H907HX1M11007: Total: 1, Poor: 0, Poor %: 0.00%
RAMP TO 95 I EB: Total: 1, Poor: 0, Poor %: 0.00%
907H 907HX1M11008: Total: 1, Poor: 0, Poor %: 0.00%
95I 95IX1M22019: Total: 1, Poor: 0, Poor %: 0.00%
907  907HX1M12051: Total: 1, Poor: 0, Poor %: 0.00%
907H907HX1MR09D1: Total: 1, Poor: 0, Poor %: 0.00%
907H907HX1M1055: Total: 1, Poor: 0, Poor %: 0.00%
907H S/B: Total: 1, Poor: 0, Poor %: 0.00%
NYCTA-DYRE AVE LN: Total: 1, Poor: 0, Poor %: 0.00%
295I 295IX1M22024: Total: 1, Poor: 0, Poor %: 0.00%
908A908AX1M11008: Total: 1, Poor: 0, Poor %: 0.00%
95I95IX1M22056: Total: 1, Poor: 0, Poor %: 0.00%
